order_id,order_date,customer_id,basket_items,basket_categories,association_groups,total_distinct_products,total_units,net_amount_jd,season_event
O202600571,2026-02-27,C0058,"Crush Orange Soft Drink Pet Bottle, 1L",Soft Drinks,Juices,1,3,0.99,Ramadan 2026
O202600572,2026-02-27,C0035,"Kasih Vegetable Oil Cooking Spray, 141g | Gold Ramadan Star-Moon Party-Decorations Garland - 12pcs | Abu Kass Basmati Rice, 4kg | NewLand Mayonnaise Garlic Flavor 300ml",oil | Eid al-Fitr | rice | Cooking & Baking,Oil | Dates/Ramadan | Rice | Spices & Seasonings,4,5,18.14,Ramadan 2026
O202600573,2026-02-27,C0113,"Pringles Sour Cream & Onion Chips Can, 165g | Tiger Rice 3.5 kg",Chips | rice,Dairy | Rice,2,2,5.35,Ramadan 2026
O202600574,2026-02-27,C0069,"Benina Garlic Chili Sauce, 280g | Soccer 50 FT Smart Outdoor String Lights Waterproof",Cooking & Baking | World Cup,Spices & Seasonings | Water,2,3,4.88,Ramadan 2026
O202600575,2026-02-27,C0066,"Wood Ramadan Decorations for Home Islamic Eid Mubarak Kareem Table | Sunwhite Calrose Rice, 4kg",Eid al-Fitr | rice,Dates/Ramadan | Rice,2,2,5.99,Ramadan 2026
O202600576,2026-02-27,C0112,"Set of 2 Ramadan Serving Trays | Cool Gear Water Bottle - Pink, 650ml",ramadan | back to school,Dates/Ramadan | Water,2,4,19.75,Ramadan 2026
O202600577,2026-02-27,C0087,"Abu Kass Basmati Rice, 4kg | Almarai Mixed Fruit Juice, 200ml",rice | Juices,Rice | Juices,2,2,5.79,Ramadan 2026
O202600578,2026-02-27,C0121,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,1,5.49,Ramadan 2026
O202600579,2026-02-27,C0115,"Golden Corn Oil, 2.9L | Mr.Chips Chilli Potato Chips, 68g | Mandi Basmati Rice 4 kg | Aroma Garden Biryani Spices, 100g",oil | Chips | rice | Cooking & Baking,Oil | Chips | Rice | Spices & Seasonings,4,4,13.35,Ramadan 2026
O202600580,2026-02-27,C0137,"Morrisons Apricot Halves in Juice, 410g",Canned Fruit,Juices,1,2,8.78,Ramadan 2026
O202600581,2026-02-27,C0010,Maxim's Sliced Tuna With Garlic And Black Pepper 120 g,Canned Seafood,Spices & Seasonings,1,1,2.29,Ramadan 2026
O202600582,2026-02-28,C0038,"Unium Luncheon Meat 500 g | Almarai Strawberry Banana Fat Free Protein Milk No Added Sugar, 400ml",Canned Meat | Sports & Energy Drinks,Canned Food | Dairy,2,2,3.92,Ramadan 2026
O202600583,2026-02-28,C0079,"Small Ramadan Serving Plate (15 cm) â€“ Mosque, Crescent & Star Design for Dates and Treats",ramadan,Dates/Ramadan,1,3,15,Ramadan 2026
O202600584,2026-02-28,C0149,"Golden Corn Oil, 2.9L | Benina Garlic Chili Sauce, 280g",oil | Cooking & Baking,Oil | Spices & Seasonings,2,2,7.18,Ramadan 2026
O202600585,2026-02-28,C0136,"Soccer 50 FT Smart Outdoor String Lights Waterproof | Almarai Mixed Fruit Juice, 200ml",World Cup | Juices,Water | Juices,2,2,2.2,Ramadan 2026
O202600586,2026-02-28,C0021,"Almarai Mango Juice, 1L",Juices,Juices,1,2,2.5,Ramadan 2026
O202600587,2026-02-28,C0089,"Teeba 9% Fat Labneh, 500g | Kinza Soda Water Can, 250ml",labneh | water,Dairy | Water,2,2,2.61,Ramadan 2026
O202600588,2026-02-28,C0098,"NewLand Pineapple Slices In Light Syrup 565 g | Eti Pop Kek Mini Cake with Dark Chocolate, 144g | Americana Orange Pound Cake, 300g",Canned Fruit | Cakes and Rolls | Cakes and Rolls,Canned Food | Bakery | Juices,3,5,8.91,Ramadan 2026
O202600589,2026-02-28,C0047,"Durra Lemon Seasoning, 1000ml",Cooking & Baking,Spices & Seasonings,1,1,1.85,Ramadan 2026
O202600590,2026-02-28,C0072,"Jordina Joy Orange, 1L",Soft Drinks,Juices,1,1,0.6,Ramadan 2026
O202600591,2026-02-28,C0114,"American Garden Strawberry Topping & Filling, No Artificial Flavors, 595g",Canned Fruit,Canned Food,1,1,4.75,Ramadan 2026
O202600592,2026-02-28,C0131,"Mr.Chips Waves Grilled Burger Chips, 50g | Crystal Ice Cubes 2 kg",Chips | water,Chips | Water,2,2,1.64,Ramadan 2026
O202600593,2026-02-28,C0112,"Ozmo Fun Shape Milk Chocolate Lollipop, 23g",Chocolate,Dairy,1,1,0.6,Ramadan 2026
O202600594,2026-02-28,C0135,"Ard Jdadna Powder Garlic, 200g | Albayrouty Mushroom Slices 400 g",Cooking & Baking | Canned Vegetables,Spices & Seasonings | Canned Food,2,2,3.25,Ramadan 2026
O202600595,2026-02-28,C0108,"Ozmo Fun Shape Milk Chocolate Lollipop, 23g",Chocolate,Dairy,1,1,0.6,Ramadan 2026
O202600596,2026-02-28,C0010,"Benina Chili Oil, 150ml",Cooking & Baking,Oil,1,1,1.49,Ramadan 2026
O202600597,2026-02-28,C0130,"Ramadan Decorative Tissue Box â€“ Boy & Girl Design | Hammoudeh Lactose Free Full Fat UHT Milk, 1L | Cool Gear Cactus Water Bottle with Freeze Stick, 650ml | Bifa Keks Roll Black and White Cake, 50g",ramadan | milk | back to school | Cakes and Rolls,Dates/Ramadan | Dairy | Water | Bakery,4,6,9.5,Ramadan 2026
O202600598,2026-02-28,C0011,"Crush Orange Soft Drink Pet Bottle, 1L",Soft Drinks,Juices,1,1,0.33,Ramadan 2026
O202600599,2026-02-28,C0021,"Sama Mineral Water, 12x600ml",water,Water,1,3,4.29,Ramadan 2026
O202600600,2026-02-28,C0048,"Benina Garlic Chili Sauce, 280g",Cooking & Baking,Spices & Seasonings,1,1,1.49,Ramadan 2026
O202600601,2026-02-28,C0049,Maxims Sweet Corn 180 g 3 pcs get 1 pc Free,Canned Fruit,Canned Food,1,1,3.79,Ramadan 2026
O202600602,2026-03-01,C0008,"Mr.Chips Bugles Cheese Flavor Corn Snacks, 33g | Nestle Mineral Water, 6x1.5L",Chips | water,Chips | Water,2,3,4.7,Ramadan 2026
O202600603,2026-03-01,C0111,"Mr.Chips Waves Smoky Bbq Chips, 50g | Sayad Tuna Meat With Natural Chili 160 g",Chips | Canned Seafood,Chips | Canned Food,2,2,1.46,Ramadan 2026
O202600604,2026-03-01,C0063,"Ramadan Mosque Decoration, 50 cm | Koita UHT Coconut Milk - No Added Sugar, 1L | Sama Mineral Water, 12x600ml",ramadan | Milk Alternatives | water,Dates/Ramadan | Dairy | Water,3,4,7.31,Ramadan 2026
O202600605,2026-03-01,C0081,"Cool Gear Cactus Water Bottle with Freeze Stick, 650ml",back to school,Water,1,1,3.75,Ramadan 2026
O202600606,2026-03-01,C0049,"Koita Low Fat Lactose Free Non Harmone Milk, 1L",Long Life Milk,Dairy,1,1,2.9,Ramadan 2026
O202600607,2026-03-01,C0125,"Nadec Burger Cheese (10 Slices), 200g | Abu Kass Basmati Rice, 4kg",Cheese | rice,Eggs | Rice,2,2,7.06,Ramadan 2026
O202600608,2026-03-01,C0124,"KDD Thick Cream, 4x125ml | Americana Orange Pound Cake, 300g",cream | Cakes and Rolls,Dairy | Juices,2,4,7.24,Ramadan 2026
O202600609,2026-03-01,C0062,"Sama Mineral Water, 12x600ml | Morrisons Apricot Halves in Juice, 410g",water | Canned Fruit,Water | Juices,2,5,16.03,Ramadan 2026
O202600610,2026-03-01,C0146,"Rio Mare Light Tuna in Olive Oil, 160g",Canned Seafood,Oil,1,1,3.45,Ramadan 2026
O202600611,2026-03-01,C0034,"L'usine Cupcakes Filled with Chocolate Cream, 18x30g",Cakes and Rolls,Dairy,1,2,3.6,Ramadan 2026
O202600612,2026-03-01,C0027,"Golden Corn Oil, 2.9L | Reef Diet Flax Seeds Bread, 250g",oil | Flatbread,Oil | Bakery,2,2,6.49,Ramadan 2026
O202600613,2026-03-01,C0013,"Black Mini Decorative Lantern | KDD Thick Cream, 4x125ml | Kinza Soda Water Can, 250ml",ramadan | cream | water,Dates/Ramadan | Dairy | Water,3,5,6.16,Ramadan 2026
O202600614,2026-03-01,C0031,"Ozmo Fun Shape Milk Chocolate Lollipop, 23g | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",Chocolate | Cakes and Rolls,Dairy | Bakery,2,2,2.2,Ramadan 2026
O202600615,2026-03-01,C0040,"Nestle Mineral Water, 6x1.5L",water,Water,1,2,4.27,Ramadan 2026
O202600616,2026-03-01,C0119,"Tiger Rice 3.5 kg | Golden Corn Oil, 2.9L | Blue Mill Paprika 200 g | Cool Gear Water Bottle - Pink, 650ml | Al Rabie Orange Juice, 1L",rice | oil | Cooking & Baking | back to school | Juices,Rice | Oil | Spices & Seasonings | Water | Juices,5,9,35.43,Ramadan 2026
O202600617,2026-03-01,C0025,"Filippo Berio Basil Flavoured Olive Oil, 250ml | Mandi Basmati Rice 4 kg | Ard Jdadna Powder Garlic, 200g",oil | rice | Cooking & Baking,Oil | Rice | Spices & Seasonings,3,3,18.89,Ramadan 2026
O202600618,2026-03-01,C0109,"Cool Gear Cactus Water Bottle with Freeze Stick, 650ml",back to school,Water,1,2,7.5,Ramadan 2026
O202600619,2026-03-01,C0010,"Nadec Milk Chocolate Milk, 6x125ml | Sunwhite Calrose Rice, 4kg",Long Life Milk | rice,Eggs | Rice,2,3,7.69,Ramadan 2026
O202600620,2026-03-02,C0078,Spice Classics Basil Leaves 6.25 g,Cooking & Baking,Spices & Seasonings,1,1,1.93,Ramadan 2026
O202600621,2026-03-02,C0073,"Almarai Mango Juice, 1L",Juices,Juices,1,1,1.25,Ramadan 2026
O202600622,2026-03-02,C0068,Blue Mill Paprika 200 g,Cooking & Baking,Spices & Seasonings,1,1,3.85,Ramadan 2026
O202600623,2026-03-02,C0079,"Aroma Garden Chicken Spices, 100g",Cooking & Baking,Spices & Seasonings,1,1,2.03,Ramadan 2026
O202600624,2026-03-02,C0132,"Ard Jdadna Powder Garlic, 200g | Reef Diet Flax Seeds Bread, 250g",Cooking & Baking | Flatbread,Spices & Seasonings | Bakery,2,2,3.2,Ramadan 2026
O202600625,2026-03-02,C0103,"Galaxy Smooth Milk Chocolate Bar,Â 30g | Cool Gear Water Bottle - Pink, 650ml",Chocolate | back to school,Chocolate | Water,2,5,15.77,Ramadan 2026
O202600626,2026-03-02,C0084,"Filippo Berio Basil Flavoured Olive Oil, 250ml",oil,Oil,1,1,12.6,Ramadan 2026
O202600627,2026-03-02,C0021,"Aroma Garden Seven Spices, 100g",Cooking & Baking,Spices & Seasonings,1,1,2.09,Ramadan 2026
O202600628,2026-03-02,C0067,"Alyoum Fresh Jameed Liquid, 1kg | KDD Mango Nectar, 1L",Yoghurts | Juices,Dairy | Juices,2,2,2.99,Ramadan 2026
O202600629,2026-03-02,C0010,"Benina Chili Oil, 150ml | Cool Gear Water Bottle - Pink, 650ml",Cooking & Baking | back to school,Oil | Water,2,3,8.72,Ramadan 2026
O202600630,2026-03-02,C0013,"Set of 5 Ramadan Sofa Cushion Covers | Ozmo Hoppo Biscuit Filled with Chocolate Cream, 40g | Cool Gear Cactus Water Bottle with Freeze Stick, 650ml",ramadan | Chocolate | back to school,Dates/Ramadan | Dairy | Water,3,3,5.35,Ramadan 2026
O202600631,2026-03-02,C0099,"Mr.Chips Paprika Snack Mix, 78g | Ovalyo White XL Eggs, 6pcs",Chips | eggs,Spices & Seasonings | Eggs,2,5,4.4,Ramadan 2026
O202600632,2026-03-03,C0086,"Aroma Garden Biryani Spices, 100g | Unium Luncheon Meat 500 g",Cooking & Baking | Canned Meat,Spices & Seasonings | Canned Food,2,3,6.48,Ramadan 2026
O202600633,2026-03-03,C0076,"Baladna Coffee with Milk Low Fat Cow Milk, 250ml | Soccer 50 FT Smart Outdoor String Lights Waterproof",Specialty Drinks | World Cup,Dairy | Water,2,3,4.46,Ramadan 2026
O202600634,2026-03-03,C0017,"Ozmo Fun Shape Milk Chocolate Lollipop, 23g",Chocolate,Dairy,1,1,0.58,Ramadan 2026
O202600635,2026-03-03,C0041,"Al Sayad Tuna In Vegetable Oil, 160g | Nestle Mineral Water, 6x1.5L",Canned Seafood | water,Canned Food | Water,2,2,2.99,Ramadan 2026
O202600636,2026-03-03,C0065,Soccer 50 FT Smart Outdoor String Lights Waterproof,World Cup,Water,1,2,3.8,Ramadan 2026
O202600637,2026-03-03,C0077,Ramadan LED String Lights | Crystal Ice Cubes 2 kg,ramadan | water,Dates/Ramadan | Water,2,5,5.46,Ramadan 2026
O202600638,2026-03-03,C0149,"Rio Mare Tuna In Olive Oil, 2x160g",Canned Seafood,Oil,1,1,5.34,Ramadan 2026
O202600639,2026-03-03,C0120,"Ozmo Hoppo Biscuit Filled with Chocolate Cream, 40g",Chocolate,Dairy,1,3,1.8,Ramadan 2026
O202600640,2026-03-03,C0089,"Eti Aditco Chocolate Cake, 36g | Abu Kass Basmati Rice, 4kg",Cakes and Rolls | rice,Chocolate | Rice,2,3,6.27,Ramadan 2026
O202600641,2026-03-03,C0130,"Al Sayad Tuna In Vegetable Oil, 160g",Canned Seafood,Oil,1,1,0.79,Ramadan 2026
O202600642,2026-03-03,C0120,"Jordina Joy Orange, 1L",Soft Drinks,Juices,1,1,0.6,Ramadan 2026
O202600643,2026-03-03,C0124,"Kinza Soda Water Can, 250ml",water,Water,1,1,0.36,Ramadan 2026
O202600644,2026-03-03,C0077,"Ozmo Milk Chocolate Egg Shapes, 20g",Chocolate,Dairy,1,1,0.75,Ramadan 2026
O202600645,2026-03-03,C0124,"Golden Corn Oil, 2.9L | Mandi Basmati Rice 4 kg | Durra Lemon Seasoning, 1000ml | Americana Orange Pound Cake, 300g",oil | rice | Cooking & Baking | Cakes and Rolls,Oil | Rice | Spices & Seasonings | Juices,4,6,21.28,Ramadan 2026
O202600646,2026-03-03,C0105,"Almarai Mango Juice, 1L",Juices,Juices,1,1,1.25,Ramadan 2026
O202600647,2026-03-04,C0076,"Red Bull Energy Drink Watermelon, 250ml",Sports & Energy Drinks,Water,1,2,3.2,Ramadan 2026
O202600648,2026-03-04,C0033,"Cool Gear Cactus Water Bottle with Freeze Stick, 650ml | Americana Marble Pound Cake, 300g",back to school | Cakes and Rolls,Water | Bakery,2,4,13.15,Ramadan 2026
O202600649,2026-03-04,C0066,"Sunwhite Calrose Rice, 4kg",rice,Rice,1,1,4.84,Ramadan 2026
O202600650,2026-03-04,C0037,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,1,5.49,Ramadan 2026
O202600651,2026-03-04,C0085,"Rio Mare Light Tuna in Olive Oil, 160g",Canned Seafood,Oil,1,1,3.45,Ramadan 2026
O202600652,2026-03-04,C0057,"Jordina Joy Orange, 1L",Soft Drinks,Juices,1,2,1.2,Ramadan 2026
O202600653,2026-03-04,C0026,"Al Mazraa Jameed Pasteurized Liquid, 1L",Yoghurts,Dairy,1,1,2.75,Ramadan 2026
O202600654,2026-03-04,C0142,"Alyoum Burger Buns with Sesame Seeds, 6 Pieces | Crush Orange Soft Drink Pet Bottle, 1L",Burger Buns | Soft Drinks,Bakery | Juices,2,3,1.21,Ramadan 2026
O202600655,2026-03-04,C0002,"Americana Orange Pound Cake, 300g",Cakes and Rolls,Juices,1,1,1.9,Ramadan 2026
O202600656,2026-03-04,C0018,"Nadec Milk Chocolate Milk, 6x125ml | Kinza Soda Water Can, 250ml",Long Life Milk | water,Eggs | Water,2,6,4.14,Ramadan 2026
O202600657,2026-03-04,C0027,"Benina Chili Oil, 150ml",Cooking & Baking,Oil,1,1,1.49,Ramadan 2026
O202600658,2026-03-04,C0136,"Afia Pure Corn Oil, 1.5L | Baladna Coffee with Milk Low Fat Cow Milk, 250ml | Almarai Mango Juice, 1L",oil | Specialty Drinks | Juices,Oil | Dairy | Juices,3,3,6.04,Ramadan 2026
O202600659,2026-03-04,C0071,"Cool Gear Cactus Water Bottle with Freeze Stick, 650ml",back to school,Water,1,1,3.75,Ramadan 2026
O202600660,2026-03-05,C0064,"Durra Lemon Seasoning, 1000ml",Cooking & Baking,Spices & Seasonings,1,2,3.7,Ramadan 2026
O202600661,2026-03-05,C0004,"Benina Chili Oil, 150ml",Cooking & Baking,Oil,1,1,1.49,Ramadan 2026
O202600662,2026-03-05,C0095,"Rio Mare Light Tuna in Olive Oil, 160g",Canned Seafood,Oil,1,1,3.45,Ramadan 2026
O202600663,2026-03-05,C0003,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,3,16.47,Ramadan 2026
O202600664,2026-03-05,C0104,"Aroma Garden Chicken Spices, 100g | Rio Mare Tuna In Olive Oil, 2x160g",Cooking & Baking | Canned Seafood,Spices & Seasonings | Canned Food,2,3,9.68,Ramadan 2026
O202600665,2026-03-05,C0117,"Aroma Garden Biryani Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2,4.05,Ramadan 2026
O202600666,2026-03-05,C0016,Soccer 50 FT Smart Outdoor String Lights Waterproof,World Cup,Water,1,3,5.7,Ramadan 2026
O202600667,2026-03-05,C0138,"Cool Gear Water Bottle - Pink, 650ml",back to school,Water,1,3,11.25,Ramadan 2026
O202600668,2026-03-05,C0119,"Ard Jdadna Powder Garlic, 200g",Cooking & Baking,Spices & Seasonings,1,1,1.9,Ramadan 2026
O202600669,2026-03-05,C0129,Mandi Basmati Rice 4 kg,rice,Rice,1,1,4.97,Ramadan 2026
O202600670,2026-03-05,C0008,"Aroma Garden Seven Spices, 100g",Cooking & Baking,Spices & Seasonings,1,1,2.03,Ramadan 2026
O202600671,2026-03-05,C0130,"Al Sayad Tuna In Vegetable Oil, 160g | Abu Kass Basmati Rice, 4kg | Aroma Garden Chicken Spices, 100g",Canned Seafood | rice | Cooking & Baking,Oil | Rice | Spices & Seasonings,3,3,8.37,Ramadan 2026
O202600672,2026-03-06,C0146,Unium Luncheon Meat 500 g | Mandi Basmati Rice 4 kg,Canned Meat | rice,Canned Food | Rice,2,2,7.27,Ramadan 2026
O202600673,2026-03-06,C0006,"California Garden Whole Kernal Sweet Corn, 400g",Canned Vegetables,Canned Food,1,1,1.05,Ramadan 2026
O202600674,2026-03-06,C0016,"Islamic Ramadan Mihrab Decor Piece â€“ 21 cm, Mosque Design with Stone-Like Texture | Almarai Mixed Fruit Juice, 200ml",ramadan | Juices,Dates/Ramadan | Juices,2,6,5.6,Ramadan 2026
O202600675,2026-03-06,C0028,"Jordina Joy Orange, 1L",Soft Drinks,Juices,1,4,2.4,Ramadan 2026
O202600676,2026-03-06,C0076,"Cheetos Crunchy Flaming Hot Chips, 115g | Albayrouty Sweet Corn 340 g",Chips | Canned Vegetables,Chips | Canned Food,2,2,2.05,Ramadan 2026
O202600677,2026-03-06,C0016,"Sunwhite Calrose Rice, 4kg | Crystal Ice Cubes 2 kg",rice | water,Rice | Water,2,4,7.96,Ramadan 2026
O202600678,2026-03-06,C0097,"Alyoum Yoghurt, 1kg | KDD Mango Nectar, 1L",youghurt | Juices,Dairy | Juices,2,2,2.6,Ramadan 2026
O202600679,2026-03-06,C0132,"Jordina Joy Orange, 1L",Soft Drinks,Juices,1,1,0.6,Ramadan 2026
O202600680,2026-03-06,C0096,"Afia Pure Corn Oil, 1.5L",oil,Oil,1,1,3.99,Ramadan 2026
O202600681,2026-03-06,C0064,Maxim's Sliced Tuna With Garlic And Black Pepper 120 g,Canned Seafood,Canned Food,1,2,4.58,Ramadan 2026
O202600682,2026-03-06,C0043,Maxims Sweet Corn 180 g 3 pcs get 1 pc Free,Canned Fruit,Canned Food,1,1,3.79,Ramadan 2026
O202600683,2026-03-06,C0135,"Cool Gear Cactus Water Bottle with Freeze Stick, 650ml",back to school,Water,1,3,11.25,Ramadan 2026
O202600684,2026-03-06,C0115,"Golden Corn Oil, 2.9L",oil,Oil,1,3,17.07,Ramadan 2026
O202600685,2026-03-06,C0053,"Rio Mare Light Tuna in Olive Oil, 160g | Ard Jdadna Powder Garlic, 200g",Canned Seafood | Cooking & Baking,Oil | Spices & Seasonings,2,4,12.55,Ramadan 2026
O202600686,2026-03-07,C0099,"Ramadan Advent Calendar 30 Days Countdown Calendars | Sunwhite Calrose Rice, 4kg | Kinder Chocolate Milk Chocolate Bars With Milky Filling (4 Bars), 50g | Kinza Soda Water Can, 250ml",Eid al-Fitr | rice | Chocolate | water,Dates/Ramadan | Rice | Dairy | Water,4,5,9.31,Ramadan 2026
O202600687,2026-03-07,C0069,"Nadec Banana Flavor Milk, 6x125ml",Long Life Milk,Dairy,1,1,1.35,Ramadan 2026
O202600688,2026-03-07,C0093,"Choco Lake Diamond Twist Kunafa with Peanut Butter Filling, 450g",Chocolate,Dairy,1,3,14.97,Ramadan 2026
O202600689,2026-03-07,C0045,Crystal Ice Cubes 2 kg,water,Water,1,3,2.88,Ramadan 2026
O202600690,2026-03-07,C0101,"Choco Lake Diamond Twist Kunafa with Peanut Butter Filling, 450g",Chocolate,Dairy,1,1,4.84,Ramadan 2026
O202600691,2026-03-07,C0020,"Ozmo Milk Chocolate Egg Shapes, 20g",Chocolate,Dairy,1,1,0.73,Ramadan 2026
O202600692,2026-03-07,C0033,"Ozmo Fun Shape Milk Chocolate Lollipop, 23g",Chocolate,Dairy,1,1,0.6,Ramadan 2026
O202600693,2026-03-07,C0036,"Benina Garlic Chili Sauce, 280g | Alyoum Fresh Jameed Liquid, 1kg | Choco Lake Choco Biscuits 650G",Cooking & Baking | Yoghurts | Chocolate,Spices & Seasonings | Dairy | Chocolate,3,3,6.24,Ramadan 2026
O202600694,2026-03-07,C0118,"Al Sayad Tuna In Vegetable Oil, 160g | Doritos Nacho Cheese Tortilla Chips, 120g",Canned Seafood | Chips,Oil | Chips,2,2,1.74,Ramadan 2026
O202600695,2026-03-07,C0047,"Nestle Mineral Water, 6x1.5L",water,Water,1,1,2.13,Ramadan 2026
O202600696,2026-03-07,C0014,"Barni Chocolate Cake, 30g | Jordina Joy Orange, 1L",Cakes and Rolls | Soft Drinks,Bakery | Juices,2,3,1.4,Ramadan 2026
O202600697,2026-03-07,C0078,"Lay's Salt & Vinegar Chips, 110g | Sunwhite Calrose Rice, 4kg",Chips | rice,Chips | Rice,2,3,10.98,Ramadan 2026
O202600698,2026-03-07,C0093,"Kasih Vegetable Oil Cooking Spray, 141g",oil,Oil,1,1,2.25,Ramadan 2026
O202600699,2026-03-07,C0016,"KDD Milk Coffee Latte, 250ml",Specialty Drinks,Dairy,1,1,0.7,Ramadan 2026
O202600700,2026-03-07,C0005,"Al Sayad Tuna In Vegetable Oil, 160g",Canned Seafood,Oil,1,1,0.79,Ramadan 2026
O202600701,2026-03-07,C0002,"Snickers Chocolate Bar Filled with Caramel & Peanuts, 40g | Nadec Full Fat Fresh Milk, 6x125ml",Chocolate | Long Life Milk,Chocolate | Dairy,2,5,4.59,Ramadan 2026
O202600702,2026-03-07,C0146,"L'usine Vanilla Cupcakes, 18x30g | Morrisons Apricot Halves in Juice, 410g",Cakes and Rolls | Canned Fruit,Bakery | Juices,2,4,14.97,Ramadan 2026
O202600703,2026-03-07,C0136,"Kinder Happy Hippo Biscuits with Double Cream Filling, 103.5g | Soccer 50 FT Smart Outdoor String Lights Waterproof",Chocolate | World Cup,Chocolate | Water,2,2,3.73,Ramadan 2026
O202600704,2026-03-08,C0095,"Filippo Berio Basil Flavoured Olive Oil, 250ml | Tiger Rice 3.5 kg | Blue Mill Garlic Powder 200 g",oil | rice | Cooking & Baking,Oil | Rice | Spices & Seasonings,3,4,31.74,Ramadan 2026
O202600705,2026-03-08,C0045,"Rio Mare Tuna In Olive Oil, 2x160g",Canned Seafood,Oil,1,1,5.5,Ramadan 2026
O202600706,2026-03-08,C0032,"Blue Mill Paprika 200 g | Al Youm Labneh, 200g | Soccer 50 FT Smart Outdoor String Lights Waterproof | Almarai Mixed Berry Juice, 1.4L",Cooking & Baking | labneh | World Cup | Juices,Spices & Seasonings | Dairy | Water | Juices,4,6,13,Ramadan 2026
O202600707,2026-03-08,C0002,"Sama Mineral Water, 12x600ml",water,Water,1,1,1.43,Ramadan 2026
O202600708,2026-03-08,C0146,"Spuds Sour Cream & Onion Craft Cooked Chips, 65g",Chips,Dairy,1,1,0.73,Ramadan 2026
O202600709,2026-03-08,C0140,"Spuds Prime Ribs Craft Cooked Chips, 65g | KDD Mango Nectar, 1L",Chips | Juices,Chips | Juices,2,2,2.08,Ramadan 2026
O202600710,2026-03-08,C0082,"Alyoum Tang Taste Yoghurt Baladi, 1kg",Yoghurts,Dairy,1,1,1.75,Ramadan 2026
O202600711,2026-03-08,C0131,"Afia Pure Corn Oil, 1.5L",oil,Oil,1,1,3.99,Ramadan 2026
O202600712,2026-03-08,C0112,"Rio Mare Tuna In Olive Oil, 2x160g | Kinza Soda Water Can, 250ml",Canned Seafood | water,Canned Food | Water,2,4,6.58,Ramadan 2026
O202600713,2026-03-08,C0120,NewLand Sliced Black Olives 345 g,Canned Vegetables,Canned Food,1,1,1.2,Ramadan 2026
O202600714,2026-03-08,C0004,"Abu Kass Basmati Rice, 4kg | Nestle Mineral Water, 6x1.5L | Americana Orange Pound Cake, 300g",rice | water | Cakes and Rolls,Rice | Water | Bakery,3,5,19.95,Ramadan 2026
O202600715,2026-03-08,C0020,"Almarai Labneh, 500g",labneh,Dairy,1,1,2.21,Ramadan 2026
O202600716,2026-03-08,C0146,"Almarai Strawberry Banana Fat Free Protein Milk No Added Sugar, 400ml",Sports & Energy Drinks,Dairy,1,1,1.62,Ramadan 2026
O202600717,2026-03-08,C0142,"Red Bull Energy Drink Watermelon, 250ml",Sports & Energy Drinks,Water,1,2,3.2,Ramadan 2026
O202600718,2026-03-08,C0107,"Teeba 9% Fat Labneh, 500g",labneh,Dairy,1,1,2.25,Ramadan 2026
O202600719,2026-03-08,C0006,"Ozmo Hoppo Biscuit Filled with Chocolate Cream, 40g",Chocolate,Dairy,1,1,0.6,Ramadan 2026
O202600720,2026-03-08,C0136,"Maxim's Smoked Tuna Oil 185 g | Americana Chocolate Pound Cake, 300g",Canned Seafood | Cakes and Rolls,Oil | Bakery,2,2,4.75,Ramadan 2026
O202600721,2026-03-08,C0112,"Ard Jdadna Powder Garlic, 200g | Raffaello Premium Coconut & Almond Pralines, 30g",Cooking & Baking | Chocolate,Spices & Seasonings | Chocolate,2,2,2.72,Ramadan 2026
O202600722,2026-03-09,C0010,"Aroma Garden Seven Spices, 100g | Bifa Keks Roll Cake with Cocoa Cream, 50g | Tiger Rice 3.5 kg",Cooking & Baking | Cakes and Rolls | rice,Spices & Seasonings | Dairy | Rice,3,3,5.99,Ramadan 2026
O202600723,2026-03-09,C0112,"Cool Gear Water Bottle - Pink, 650ml",back to school,Water,1,2,7.5,Ramadan 2026
O202600724,2026-03-09,C0040,"Nadec Full Fat Fresh Milk, 6x125ml",Long Life Milk,Dairy,1,2,2.26,Ramadan 2026
O202600725,2026-03-09,C0025,"Red Bull Energy Drink Watermelon, 250ml",Sports & Energy Drinks,Water,1,2,3.2,Ramadan 2026
O202600726,2026-03-09,C0012,"Koita Organic Chocolate Milk Uht 200 ml | Sama Mineral Water, 12x600ml",Long Life Milk | water,Dairy | Water,2,2,3.08,Ramadan 2026
O202600727,2026-03-09,C0014,Soccer 50 FT Smart Outdoor String Lights Waterproof,World Cup,Water,1,4,7.6,Ramadan 2026
O202600728,2026-03-09,C0146,"Rio Mare Tuna In Olive Oil, 2x160g",Canned Seafood,Canned Food,1,1,5.5,Ramadan 2026
O202600729,2026-03-09,C0132,"Cool Gear Water Bottle - Pink, 650ml",back to school,Water,1,3,11.25,Ramadan 2026
O202600730,2026-03-09,C0088,"Sunwhite Calrose Rice, 4kg",rice,Rice,1,1,4.84,Ramadan 2026
O202600731,2026-03-09,C0069,"Mr.Chips Cheese Potato Chips, 68g | Almarai Greek Style Full Fat Blueberry Yoghurt, 150g",Chips | Yoghurts,Chips | Dairy,2,2,1.5,Ramadan 2026
